respondent_id,program,year_of_study,age_bracket,freq_use_ai,trust_ai_output,concern_integrity,tools_used,monthly_spend_gbp,open_response
1,Engineering Management,1,26-30,3,3,3,Perplexity,1.77,
2,Technology Management,1,22-25,3,3,4,Copilot;Claude;Perplexity,20.83,I rely on it too much for first drafts and my own writing has gotten lazy.
3,Engineering Management,1,22-25,3,3,2,Copilot,1.08,Slow on long PDFs.
4,Marketing,2,22-25,2,4,2,Gemini;Perplexity;Copilot,0.0,Worried my supervisor thinks I'm cheating even when I just use it for grammar.
5,Technology Management,1,26-30,3,3,5,Copilot,11.36,I rely on it too much for first drafts and my own writing has gotten lazy.
6,Business Analytics,1,26-30,3,3,4,Claude,19.14,Information cutoff means recent papers aren't covered.
7,Technology Management,1,26-30,3,3,5,Gemini,18.8,Don't know which tool to pick.
8,Marketing,1,22-25,3,4,4,Claude;Gemini,0.74,Slow on long PDFs.
9,Engineering Management,1,31-35,3,2,3,Perplexity,18.27,
10,Technology Management,2,22-25,4,2,3,Perplexity;Copilot,20.75,I'm not sure if I can trust the citations it generates.
11,Engineering Management,1,26-30,4,3,5,ChatGPT;Gemini,18.47,
12,Engineering Management,2,22-25,4,3,4,Gemini,41.92,"Output is too generic, doesn't fit my specific research context."
13,Business Analytics,1,22-25,5,2,4,Copilot;ChatGPT,2.79,Privacy — I don't want to upload supervisor's unpublished work.
14,Technology Management,1,31-35,3,1,4,ChatGPT;Claude,1.98,I rely on it too much for first drafts and my own writing has gotten lazy.
15,Technology Management,2,22-25,4,3,4,Copilot;Gemini,20.7,Hard to know where to draw the line between help and doing it for me.
16,Technology Management,1,22-25,5,3,4,ChatGPT,2.12,Worried my supervisor thinks I'm cheating even when I just use it for grammar.
17,Finance,1,22-25,3,3,4,Claude;Perplexity,24.81,It refuses to help on topics it deems sensitive even when academic.
18,Technology Management,1,26-30,4,2,2,Gemini;Copilot,19.4,It's expensive when I need the better model.
19,Technology Management,2,22-25,3,3,3,Perplexity,18.42,Limits on usage when I need it most before deadlines.
20,Technology Management,1,22-25,5,2,2,ChatGPT;Perplexity;Copilot,1.22,Worry about plagiarism detection picking it up.
21,Finance,1,22-25,3,3,5,Gemini;Copilot,24.87,Information cutoff means recent papers aren't covered.
22,Engineering Management,1,22-25,3,3,2,Perplexity;ChatGPT;Gemini,10.17,Cultural and language nuances get lost.
23,Finance,2,22-25,4,2,5,ChatGPT,20.2,Worry about plagiarism detection picking it up.
24,Technology Management,2,22-25,5,2,4,Copilot,23.75,Slow on long PDFs.
25,Technology Management,2,22-25,4,4,3,Copilot;Gemini,42.81,
26,Engineering Management,2,36+,2,2,4,Claude;Gemini,0.0,Hard to know where to draw the line between help and doing it for me.
27,Business Analytics,1,22-25,5,3,4,ChatGPT;Gemini;Copilot,2.82,It's expensive when I need the better model.
28,Marketing,2,26-30,3,3,4,Gemini,2.06,Cultural and language nuances get lost.
29,Business Analytics,1,22-25,4,3,2,Gemini,40.39,I rely on it too much for first drafts and my own writing has gotten lazy.
30,Engineering Management,2,26-30,4,2,2,Claude,20.11,Information cutoff means recent papers aren't covered.
